Tube ID	PID	PCRed	Index	Notes	run_number	modified_sample_name	run_group
63.50	9.3.2	4/29/15	50		M63	9.3.2	M63Bray
63.51	10.3.2	4/29/15	51		M63	10.3.2	M63Bray
63.52	11.3.2	4/29/15	52		M63	11.3.2	M63Bray
63.53	12.3.2	4/29/15	53		M63	12.3.2	M63Bray
63.54	9.3.6	4/29/15	54		M63	9.3.6	M63Bray
63.55	10.3.6	4/29/15	55		M63	10.3.6	M63Bray
63.56	11.3.6	4/29/15	56		M63	11.3.6	M63Bray
63.57	12.3.6	4/29/15	57		M63	12.3.6	M63Bray
63.59	9.3.10	4/29/15	59		M63	9.3.10	M63Bray
63.60	10.3.10	4/29/15	60		M63	10.3.10	M63Bray
63.61	20 N1 a	4/29/15	61	Nirmal/ Deshane lab	M63	20N1a	M63Nir
63.62	20 C5 NA a	4/29/15	62		M63	20C5NAa	M63Nir
63.63	20 C1t a	4/29/15	63		M63	20C1ta	M63Nir
63.64	20 NA Ed	4/29/15	64		M63	20NAEd	M63Nir
63.65	20 NA Bb	4/29/15	65		M63	20NABb	M63Nir
63.66	20 C1 NA a	4/29/15	66		M63	20C1NAa	M63Nir
63.67	1	4/29/15	67	Braden mouse pellets	M63	1	M63Brad
63.68	2	4/29/15	68		M63	2	M63Brad
63.69	3	4/29/15	69		M63	3	M63Brad
63.70	4	4/29/15	70		M63	4	M63Brad
63.71	5	4/29/15	71		M63	5	M63Brad
63.72	6	4/29/15	72		M63	6	M63Brad
63.73	7	4/29/15	73		M63	7	M63Brad
63.74	8	4/29/15	74		M63	8	M63Brad
63.75	9	4/29/15	75		M63	9	M63Brad
63.76	10	4/29/15	76		M63	10	M63Brad
63.77	11	4/29/15	77		M63	11	M63Brad
63.78	12	4/29/15	78		M63	12	M63Brad
63.79	13	4/29/15	79		M63	13	M63Brad
63.80	14	4/29/15	80		M63	14	M63Brad
63.81	15	4/29/15	81		M63	15	M63Brad
63.82	16	4/29/15	82		M63	16	M63Brad
63.83	17	4/29/15	83		M63	17	M63Brad
63.84	18	4/29/15	84		M63	18	M63Brad
63.85	19	4/29/15	85		M63	19	M63Brad
63.86	20	4/29/15	86		M63	20	M63Brad
63.87	21	4/29/15	87		M63	21	M63Brad
63.88	22	4/29/15	88		M63	22	M63Brad
63.89	23	4/29/15	89		M63	23	M63Brad
63.90	24	4/29/15	90		M63	24	M63Brad
63.91	25	4/29/15	91		M63	25	M63Brad
63.92	26	4/29/15	92		M63	26	M63Brad
63.93	27	4/29/15	93		M63	27	M63Brad
63.94	28	4/29/15	94		M63	28	M63Brad
63.95	29	4/29/15	95		M63	29	M63Brad
63.96	30	4/29/15	96		M63	30	M63Brad
